eurostat_country_code,fao_area_code,Country_name,Climatic_zone1,Climatic_zone1_pct,Agreena_crop_english_name,Agreena_crop_ID,Agreena_crop_IDENTIFIER,Agreena_crop_year,Agreena_crop_methodology,coolfarm_id,coolfarm_name,es_crop_name,fao_crop_name,yield_avg,yield_min,yield_max,yield_sd,source,Agreena_crop_name
AL,3,Albania,Warm temperate moist,0.52,Rice (only 2021),26,RICE,NA,NA,15,Rice,Rice,Rice,3.665,3,4.49,0.4609927176369338,eurostat (imputed),RICE
AL,3,Albania,Warm temperate moist,0.52,"Rye, Winter (grain harvest)",159,RYE,2023,2,16,Rye,Rye,Rye,2.40625,2.17,2.88,0.2199959415210069,eurostat (imputed),RYE
AL,3,Albania,Warm temperate moist,0.52,"Rye, Spring (forage harvest)",255,RYE-SPRING-FORAGE-HARVEST,2023,2,16,Rye,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),RYE-SPRING-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Rye, Spring (grain harvest)",256,RYE-SPRING-GRAIN-HARVEST,2023,2,16,Rye,Rye,Rye,2.40625,2.17,2.88,0.2199959415210069,eurostat (imputed),RYE-SPRING-GRAIN-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Rye, Winter (forage harvest)",198,RYE-WINTER-FORAGE-HARVEST,2023,2,16,Rye,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),RYE-WINTER-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Sainfoin (seed harvest),222,SAINFOIN-SEED-HARVEST,2023,2,1,Alfalfa,Other dry pulses and protein crops n.e.c.,Other pulses n.e.c.,1.66875,1.38,1.83,0.1394312426559107,eurostat (imputed),SAINFOIN-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Sorghum (grain harvest),161,SORGHUM,2023,2,17,Sorghum,Sorghum,Sorghum,5.0518125,3.0417,8.3984,2.130613791132566,fao (imputed),SORGHUM
AL,3,Albania,Warm temperate moist,0.52,Sorghum (forage harvest),257,SORGHUM-FORAGE-HARVEST,2023,2,17,Sorghum,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),SORGHUM-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Soybean (seed harvest),162,SOYBEAN,2023,2,18,Soyabean,Soya,Soya beans,2.3375,1.82,2.94,0.3550352095215346,eurostat (imputed),SOYBEAN
AL,3,Albania,Warm temperate moist,0.52,Spinach (leaf harvest),276,SPINACH-LEAF-HARVEST,NA,NA,23,Vegetable,use FAO,Spinach,14.83885,13.6051,15.874,0.7123313394361204,fao (imputed),SPINACH-LEAF-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Durum (grain harvest)",163,SPRING-WHEAT,2023,2,19,Spring wheat,Common spring wheat and spelt,use eurostat,5.6125,4.77,6.29,0.4983329351806023,CZ estimate Eurostat,SPRING-WHEAT
AL,3,Albania,Warm temperate moist,0.52,Strawberry,32,STRAWBERRY,NA,NA,34,Strawberry,use FAO,Strawberries,40.2179,26.2458,49.8922,8.257067598124651,fao (imputed),STRAWBERRY
