"eurostat_country_code","fao_area_code","Country_name","Climatic_zone1","Climatic_zone1_pct","Agreena_crop_english_name","Agreena_crop_ID","Agreena_crop_IDENTIFIER","Agreena_crop_year","Agreena_crop_methodology","coolfarm_id","coolfarm_name","es_crop_name","fao_crop_name","yield_avg","yield_min","yield_max","yield_sd","source","Agreena_crop_name"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, Black (grain harvest)",252,"OAT-BLACK-GRAIN-HARVEST",2023,2,11,"Oats","Oats","Oats",2.13375,1.57,2.78,0.467941922525801,"eurostat (imputed)","OAT-BLACK-GRAIN-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, spring (grain harvest)",194,"OAT-SPRING-GRAIN-HARVEST",2023,2,11,"Oats","Oats","Oats",2.13375,1.57,2.78,0.467941922525801,"eurostat (imputed)","OAT-SPRING-GRAIN-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, winter (forage harvest)",195,"OAT-WINTER-FORAGE-HARVEST",2023,2,11,"Oats","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","OAT-WINTER-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, winter (grain harvest)",196,"OAT-WINTER-GRAIN-HARVEST",2023,2,11,"Oats","Oats","Oats",2.13375,1.57,2.78,0.467941922525801,"eurostat (imputed)","OAT-WINTER-GRAIN-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Oat, spring (forage harvest)",151,"OATS",2023,2,11,"Oats","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","OATS"
"MA",203,"Morocco","Warm temperate dry",0.83,"Onion",271,"ONION",2023,2,23,"Vegetable","use FAO","Onions and shallots, dry (excluding dehydrated)",53.702875,52.1042,55.4327,1.37872522876335,"fao (imputed)","ONION"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other grain",113,"OTHER-GRAIN",NA,NA,25,"Other grain","Cereals for the production of grain (including seed)","Cereals, primary",3.6899375,2.7702,4.5015,0.603418146745214,"fao (imputed)","OTHER-GRAIN"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other legume (seed harvest)",153,"OTHER-LEGUME",2023,2,26,"Other legume","Other dry pulses and protein crops n.e.c.","Other pulses n.e.c.",1.0575,0.8,1.38,0.233834495805412,"eurostat (imputed)","OTHER-LEGUME"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other N-fixing forage",154,"OTHER-N-FIXING-FORAGE",2023,2,27,"Other N-fixing forage","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","OTHER-N-FIXING-FORAGE"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other Non-N-fixing forage",155,"OTHER-NON-N-FIXING-FORAGE",2023,2,28,"Other Non-N-fixing forage","Other cereals harvested green (excluding green maize)","use eurostat",5.88125,4.75,6.54,0.699723159542401,"eurostat (imputed)","OTHER-NON-N-FIXING-FORAGE"
